"Transect","Baseline.Offshore","Transect.Spacing","Transect.Distance","Transect.Flag","Transect.StartX","Transect.StartY","Transect.EndX","Transect.EndY","Transect.Inner.Xcoord","Transect.Inner.Ycoord","Transect.Outer.Xcoord","Transect.Outer.Ycoord","Min.Date.Xcoord","Min.Date.Ycoord","Max.Date.Xcoord","Max.Date.Ycoord","Number.Dates","Min.Date","Max.Date","Elapsed.Years","Transect.Means","Range.Distance","Stdev.Change","Min.Date.Position","Max.Date.Position","Min.Date.Dist","Max.Date.Dist","Min.Date.Acc","Max.Date.Acc","Net.Change","EPR","EPR.Error","Mean.EPR.Eras","StDev.EPR.Eras","Mean.EPR.Eras.L","Mean.EPR.Eras.U","LRR.slope","LRR.Rsquared","LRR.intercept","LRR.SECoef","LRR.SEResi","LRR.Pval","LRR.CI.L","LRR.CI.U","WLR.slope","WLR.Rsquared","WLR.intercept","WLR.SECoef","WLR.SEResi","WLR.Pval","WLR.CI.L","WLR.CI.U","RLR.slope","LMS.slope","JK.avg","JK.min","JK.max","Min.Date.Class1","Max.Date.Class1","Att.Change","Baseline.Location","Shoreline.Location","Transect.Azimuth","Time.Stamp"
"11","1","50","419.906013653573","FLAG","459780.192198083","3431549.92868849","459501.808136722","3431864.29054158","459505.123386897","3431860.54683519","459776.839062952","3431553.715176","459505.123386897","3431860.54683519","459776.839062952","3431553.715176","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","284.929727887587","409.847624973154","160.456604751502","1","2","-414.905391568421","-5.0577665952666","7.21","5","409.847624973154","2.94516496854971","0.0630503819511106","3.59902037032444","1.55646029000297","2.04256008032148","5.15548066032741","3.19703520939567","0.953981955010981","-26.3085532700237","0.314019356501704","37.7061597803337","0.000156846005734052","2.38982275553419","4.00424766325716","3.16047034897244","0.961792977801422","-24.1914884725066","0.281706918105056","5.44495791968694","9.82328261797506e-05","2.4363196623185","3.88462103562638","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","318.473410297281","2012-04-04 09:35:33"
"12","1","50","432.792965304942","FLAG","459751.136238824","3431509.29552045","459478.802136478","3431845.66419842","459481.948376417","3431841.77817548","459747.878509013","3431513.31924815","459481.948376417","3431841.77817548","459747.878509013","3431513.31924815","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","292.59404693941","422.615785753615","165.834243111518","1","2","-427.792965302015","-5.1771795483997","7.21","5","422.615785753615","3.03691696990847","0.0630503819511106","3.67808761785328","1.69653167067256","1.98155594718073","5.37461928852584","3.2993288501397","0.951181295380752","-28.3952540930811","0.334273599134023","40.1382063822752","0.000181999612159916","2.440051208073","4.15860649220639","3.27318050081439","0.959573309921336","-28.5059303667838","0.300455366738862","5.80733636093067","0.000113220416571967","2.50083539265603","4.04552560897276","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","321.005337828062","2012-04-04 09:35:33"
"13","1","50","443.646117769547","FLAG","459720.053937669","3431470.16601915","459440.890510979","3431814.969817","459444.036750917","3431811.08379406","459716.811743455","3431474.17055833","459444.036750917","3431811.08379406","459716.811743455","3431474.17055833","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","300.577857527547","433.49362736661","171.876514750891","1","2","-438.64611776695","-5.1524904003394","7.21","5","433.49362736661","3.11508513802735","0.0630503819511106","3.75185166988408","1.92927067775441","1.82258099212966","5.68112234763849","3.41096269481157","0.946414488137695","-30.9984757571357","0.362973541808032","43.5843780966827","0.00023014137801179","2.47790950142327","4.34401588819987","3.39607594113496","0.955243460397486","-33.6159198496906","0.328748367577056","6.35419619675544","0.000146248411674274","2.55100135894629","4.24115052332363","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","321.005337828081","2012-04-04 09:35:33"
"14","1","50","454.766029298003","FLAG","459689.169887345","3431430.85379875","459403.009278707","3431784.30004284","459406.155518645","3431780.41401991","459685.906636539","3431434.8843456","459406.155518645","3431780.41401991","459685.906636539","3431434.8843456","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","307.269154838713","444.580075788737","176.103709576446","1","2","-449.766029295589","-5.1859535068516","7.21","5","444.580075788737","3.19475235464382","0.0630503819511106","3.80875121737728","1.99809952893643","1.81065168844085","5.80685074631371","3.49503263964769","0.946511687963902","-32.3771008522292","0.371563195785992","44.6157886089483","0.00022909083815713","2.53989903776924","4.45016624152614","3.48959668302695","0.954983548275525","-36.5500895878346","0.338826928094602","6.54899914401069","0.000148395213479662","2.61861433624252","4.36057902981139","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","321.005337828067","2012-04-04 09:35:33"
"15","1","50","465.551654867406","FLAG","459657.994187508","3431392.17416823","459379.105169504","3431764.94656391","459382.10051436","3431760.94288573","459654.92505744","3431396.2764702","459382.10051436","3431760.94288573","459654.92505744","3431396.2764702","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","312.416682750949","455.428178667325","180.011696486621","1","2","-460.551501887723","-5.1233232203975","7.21","5","455.428178667325","3.27270682022194","0.0630503819511106","3.84679622139553","2.08441714178666","1.76237907960888","5.93121336318219","3.57388175373753","0.947195065441269","-34.6371686688928","0.377374645456261","45.313603712653","0.000221786949022282","2.60380934489797","4.54395416257709","3.5903144351945","0.954892803237216","-42.1910470903239","0.348974016562495","6.74512663028853","0.000149149206515336","2.69324816710991","4.4873807032791","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","323.198064856039","2012-04-04 09:35:33"
"16","1","50","475.883893863848","FLAG","459625.437686451","3431355.36516107","459343.348495358","3431738.62899801","459346.312340057","3431734.60213514","459622.429359998","3431359.45245961","459346.312340057","3431734.60213514","459622.429359998","3431359.45245961","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","316.631148387892","465.808853229861","183.839718057217","1","2","-470.883893861725","-5.0750406318639","7.21","5","465.808853229861","3.34730234599447","0.0630503819511106","3.86965301354062","2.20416302422312","1.66548998931749","6.07381603776374","3.6487069934961","0.946585408689067","-37.3565027526667","0.387618091594652","46.5435948224315","0.000228296004412155","2.65230296807887","4.64511101891333","3.68924732041093","0.953110991378544","-48.5493746744664","0.365945621000421","7.07316142835343","0.000164426215662105","2.7485541542366","4.62994048658526","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","323.646252252827","2012-04-04 09:35:33"
"17","1","50","483.927632548084","FLAG","459590.498388504","3431319.66159955","459303.641118962","3431709.40364303","459306.60496366","3431705.37678015","459587.475185369","3431323.76911047","459306.60496366","3431705.37678015","459587.475185369","3431323.76911047","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","318.738650991207","473.827494982103","186.394235756774","1","2","-478.927632547091","-5.100137564988","7.21","5","473.827494982103","3.40492430436399","0.0630503819511106","3.9532682648547","2.02690799841005","1.92636026644466","5.98017626326475","3.71007146040484","0.952050777851171","-40.7427507003492","0.372355694174826","44.7109485736331","0.000173947574171052","2.75290067656328","4.6672422442464","3.77736847875825","0.95686808814984","-54.4267972278755","0.358655643358484","6.93225746418097","0.000133255570426618","2.85541479669248","4.69932216082402","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","323.64625225284","2012-04-04 09:35:33"
"18","1","50","497.019270195945","FLAG","459558.442029566","3431281.53013068","459280.791891758","3431693.76617461","459283.585044403","3431689.61909151","459555.525124677","3431285.8609527","459283.585044403","3431689.61909151","459555.525124677","3431285.8609527","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","320.499762232807","486.797742299827","189.732254483228","1","2","-492.019270193974","-5.2215278941472","7.21","5","486.797742299827","3.49812849954773","0.0630503819511106","3.96904958460252","1.94307904450359","2.02597054009893","5.91212862910611","3.7814612721095","0.954547396537666","-45.2742530750906","0.369024574414242","44.3109613392814","0.000152040356619477","2.83285340421683","4.73006914000217","3.88851887656328","0.956861688809149","-63.166745879284","0.369237834837931","7.13679481701295","0.000133305318374456","2.93936280529922","4.83767494782735","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","326.038857491994","2012-04-04 09:35:33"
"19","1","50","508.174839913681","FLAG","459524.286668237","3431246.16262763","459266.00172517","3431683.8046687","459268.543055834","3431679.49859833","459521.726170362","3431250.50117522","459268.543055834","3431679.49859833","459521.726170362","3431250.50117522","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","323.675325368453","498.137007781094","192.565645229618","1","2","-503.174779561709","-5.0377717806146","7.21","5","498.137007781094","3.57961245951138","0.0630503819511106","4.03599584983942","1.85819268848076","2.17780316135866","5.89418853832018","3.84202669404902","0.956585196399064","-47.6774051525302","0.366043305325824","43.9529827425211","0.000135465491356031","2.90108242232218","4.78297096577586","3.97143872750791","0.957373156857472","-67.9141027333945","0.374769143831739","7.24370644316208","0.000129364574754218","3.00806397381707","4.93481348119875","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","329.452001572059","2012-04-04 09:35:33"
"20","1","50","515.164674609539","FLAG","459485.175069341","3431215.23824445","459225.520460677","3431660.18107917","459228.040573385","3431655.86262668","459482.629364827","3431219.60055094","459228.040573385","3431655.86262668","459482.629364827","3431219.60055094","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","328.104806641463","505.113899487915","194.083515968662","1","2","-510.164674609535","-5.0507751216203","7.21","5","505.113899487915","3.62974840221848","0.0630503819511106","4.08434829694552","1.86844975534875","2.21589854159677","5.95279805229427","3.87787366405423","0.959335527586551","-46.914087778712","0.357051581454812","42.8732933222315","0.000114902711269507","2.96004335438127","4.79570397372719","4.0199004495403","0.957850272331055","-69.3557660615681","0.377119395442145","7.28913316255334","0.000125752819727637","3.05048418175057","4.98931671733002","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","329.733512025217","2012-04-04 09:35:33"
"21","1","50","522.67422945209","FLAG","459446.139147125","3431184.10148377","459197.934703849","3431644.0829013","459200.310401533","3431639.68017276","459443.683628436","3431188.65213949","459200.310401533","3431639.68017276","459443.683628436","3431188.65213949","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","328.727182474445","512.500550602398","194.896428159336","1","2","-517.671434418711","-5.1708838163132","7.21","5","512.500550602398","3.68282887596454","0.0630503819511106","4.14989462382595","1.69749516837817","2.45239945544778","5.84738979220412","3.89960688864841","0.962042849533358","-48.2196944635809","0.346406010971544","41.5950167660769","9.66257046777175e-05","3.00914188908972","4.79007188820709","4.06640660384212","0.957686541508712","-73.2130509791829","0.382255171458207","7.38839974954559","0.000126985287205506","3.08378840351361","5.04902480417064","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","331.64884836438","2012-04-04 09:35:34"
"22","1","50","532.319223265037","FLAG","459406.180310198","3431154.18748094","459197.934703849","3431644.0829013","459199.900346275","3431639.45874985","459404.182435389","3431158.8874587","459199.900346275","3431639.45874985","459404.182435389","3431158.8874587","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","328.911664584576","522.187646167655","196.174626539446","1","2","-527.294631065685","-5.1069848980298","7.21","5","522.187646167655","3.7524403431718","0.0630503819511106","4.16488603036305","1.52577447893257","2.63911155143048","5.69066050929562","3.92775226488406","0.96330324776526","-50.4432367320521","0.342839922407408","41.1668154389737","8.87618094903774e-05","3.04645418781261","4.80905034195551","4.12669620383768","0.956824344693537","-78.0989910786387","0.392031403090881","7.57735914823941","0.000133595852614611","3.11894740005325","5.13444500762212","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","336.970540406528","2012-04-04 09:35:34"
"23","1","50","541.314657383889","FLAG","459363.257389257","3431128.63167375","459197.934703849","3431644.0829013","459199.461793671","3431639.32166529","459361.728839179","3431133.39746262","459199.461793671","3431639.32166529","459361.728839179","3431133.39746262","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","331.766362102269","531.309601743509","199.037714065413","1","2","-536.314520216652","-5.0049184731427","7.21","5","531.309601743509","3.81799071450415","0.0630503819511106","4.19075565756943","1.50890701628988","2.68184864127954","5.69966267385931","3.98306623712053","0.962331772975632","-52.6770373053402","0.352417692773092","42.3168749250228","9.47873511918208e-05","3.07714771752116","4.8889847567199","4.21451344115678","0.953801041740732","-83.5219018616288","0.414810399896138","8.01764183597609","0.000158402729437454","3.14820936195073","5.28081752036282","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","342.217192728671","2012-04-04 09:35:34"
"24","1","50","546.721769781664","FLAG","459317.46880766","3431108.63821578","459154.355403058","3431630.46070551","459155.847143589","3431625.68841988","459315.964018332","3431113.45224633","459155.847143589","3431625.68841988","459315.964018332","3431113.45224633","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","336.240317274976","536.678032962106","198.517227749179","1","2","-541.721769780406","-5.0437368183009","7.21","5","536.678032962106","3.85656826039602","0.0630503819511106","4.01819721985626","1.72320658461245","2.29499063524381","5.74140380446871","3.97637237031504","0.964135800584494","-48.2757816612091","0.342975826130652","41.183134202124","8.37870454889002e-05","3.09472494160123","4.85801979902886","4.23613125771335","0.951608317958763","-82.7891737768063","0.427209252851247","8.25729243826543","0.00017801749091351","3.13795491231818","5.33430760310853","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","342.641586464046","2012-04-04 09:35:34"
"25","1","50","552.390028680113","FLAG","459272.223033655","3431088.64918963","459116.88659999","3431618.74855406","459118.292864942","3431613.94955011","459270.804684307","3431093.48943265","459118.292864942","3431613.94955011","459270.804684307","3431093.48943265","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","337.945061079223","542.345451646403","198.49364221945","1","2","-547.389226750725","-5.0437751043211","7.21","5","542.345451646403","3.89729433016937","0.0630503819511106","3.94081960069178","1.96280793343051","1.97801166726127","5.90362753412229","3.96771077206779","0.960168224757214","-46.0816257637633","0.361406676203949","43.3962352844688","0.000109076969489542","3.03868533494023","4.89673620919536","4.2579141563761","0.942861846946774","-84.9423548617467","0.468760454966333","9.0604127469569","0.000270563189738848","3.05292704557503","5.46290126717717","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","343.667691497602","2012-04-04 09:35:34"
"26","1","50","560.315344348157","FLAG","459226.604763148","3431068.25298169","459084.369851807","3431610.21471015","459085.639091645","3431605.37848949","459225.307838792","3431073.19468946","459085.639091645","3431605.37848949","459225.307838792","3431073.19468946","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","340.334108520132","550.206284902183","197.805240969158","1","2","-555.315344346283","-5.1090594440999","7.21","5","550.206284902183","3.95378227670816","0.0630503819511106","3.80592644773088","2.23821672255788","1.567709725173","6.04414317028875","3.94516640147636","0.95590686630543","-42.1261597234299","0.378929150024597","45.5002622622595","0.000140854450184246","2.97109801143002","4.9192347915227","4.25940234947769","0.936001562706764","-84.1088487642264","0.498092568125536","9.62735701272673","0.000360160227042406","2.97901464138874","5.53979005756663","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","345.294667455859","2012-04-04 09:35:34"
"27","1","50","564.853969010049","FLAG","459180.86624941","3431048.08107689","458988.920844852","3431579.32204667","458990.619915897","3431574.61958374","459179.163831207","3431052.79280363","458990.619915897","3431574.61958374","459179.163831207","3431052.79280363","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","335.68672990392","554.844119041086","196.273830292297","1","2","-559.853969007161","-5.009849966075","7.21","5","554.844119041086","3.98710975210035","0.0630503819511106","3.26288310821968","3.34000632003558","-0.0771232118158931","6.60288942825526","3.86990628000453","0.93419301889297","-39.7410940925742","0.45933878851021","55.1555227226157","0.00038641001411589","2.68913833385699","5.05067422615207","4.2660408951948","0.913408022181593","-92.5975144254801","0.587416891966705","11.3538576886465","0.000773569606295755","2.75603770275925","5.77604408763035","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","340.134444926716","2012-04-04 09:35:34"
"28","1","50","568.558312003961","FLAG","459134.704500301","3431029.07310859","458981.010599187","3431576.46395516","458982.362498962","3431571.64907599","459133.339649684","3431033.93411302","458982.362498962","3431571.64907599","459133.339649684","3431033.93411302","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","328.124295893985","558.508264436135","195.744904024283","1","2","-563.55724268033","-5.0489782441944","7.21","5","558.508264436135","4.01344030033246","0.0630503819511106","3.31503559619189","3.40575069133417","-0.0907150951422828","6.72078628752605","3.83249141109345","0.921174631815341","-43.0571234725133","0.50136984230391","60.2024397271489","0.000609787864636654","2.54367920153117","5.12130362065572","4.25270578710955","0.900578109279816","-97.7259044196724","0.631917891712299","12.2139930116576","0.00109815385889808","2.62830913306032","5.87710244115878","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","344.316562891821","2012-04-04 09:35:34"
